Plate	Well	GeneID	Entrez_gene_ID	sub_lib
7	D05	KDR	3791	KIN
7	D06	TAF1	6872	KIN
7	D07	CDK11	23097	KIN
7	D08	SNARK	81788	KIN
7	D09	SCYL1	57410	KIN
7	D10	PRKAB2	5565	KIN
7	D11	MGC4796	83931	KIN
7	D12	siCON1		
7	E01	PLK1	5347	KIN
7	E02	STK32B	55351	KIN
7	E03	MAP3K7IP1	10454	KIN
7	E04	PRKR	5610	KIN
7	E05	RIPK3	11035	KIN
7	E06	ULK4	54986	KIN
7	E07	SPHK2	56848	KIN
7	E08	TESK1	7016	KIN
7	E09	CSNK2B	1460	KIN
7	E10	ERBB4	2066	KIN
7	E11	PFKFB4	5210	KIN
7	E12	siCON2		
7	F01	MOCK		
7	F02	PKMYT1	9088	KIN
7	F03	PACE-1	57147	KIN
7	F04	IKBKB	3551	KIN
7	F05	MAP3K13	9175	KIN
7	F06	CAMK1D	57118	KIN
7	F07	IRAK3	11213	KIN
7	F08	MOS	4342	KIN
7	F09	PIP5K2B	8396	KIN
7	F10	STK4	6789	KIN
7	F11	BAIAP1	9223	KIN
7	F12	allSTAR		
7	G01	siCON1		
7	G02	SLK	9748	KIN
7	G03	CDKN1C	1028	KIN
7	G04	PIP5K1C	23396	KIN
7	G05	PFKL	5211	KIN
7	G06	PCK1	5105	KIN
7	G07	CDK9	1025	KIN
7	G08	FGFR4	2264	KIN
7	G09	CRKL	1399	KIN
7	G10	RPS6KA5	9252	KIN
7	G11	STK32C	282974	KIN
7	G12	PLK1	5347	KIN
7	H01	siCON2		
7	H02	PRKD2	25865	KIN
7	H03	CAMKK1	84254	KIN
7	H04	LYK5	92335	KIN
7	H05	COMMD3	23412	KIN
7	H06	TK2	7084	KIN
7	H07	CSNK2A1	1457	KIN
7	H08	SRMS	6725	KIN
7	H09	MAP4K2	5871	KIN
7	H10	KIAA1811	84446	KIN
7	H11	PDK1	5163	KIN
7	H12	MOCK		
8	A01	MOCK		
8	A02	MELK	9833	KIN
8	A03	PRKCH	5583	KIN
8	A04	PAK3	5063	KIN
8	A05	PFKFB1	5207	KIN
8	A06	INSRR	3645	KIN
8	A07	DLG2	1740	KIN
8	A08	PIP5K3	200576	KIN
8	A09	BMPR1A	657	KIN
8	A10	PRPS1L1	221823	KIN
8	A11	IGF2R	3482	KIN
8	A12	allSTAR		
8	B01	siCON1		
8	B02	TGFBR3	7049	KIN
8	B03	UMP-CMPK	51727	KIN
8	B04	CHKA	1119	KIN
8	B05	WNK4	65266	KIN
8	B06	RPS6KA1	6195	KIN
8	B07	IHPK3	117283	KIN
8	B08	BMX	660	KIN
8	B09	CLK4	57396	KIN
8	B10	PAK2	5062	KIN
