Plate	Well	GeneID	EntrezGene_ID	sublib
2	B13	KMO	8564	MET
2	B14	NNT	23530	MET
2	B15	MKNK1	8569	MET
2	B16	P101-PI3K	23533	MET
2	B17	SLC25A12	8604	MET
2	B18	PIGN	23556	MET
2	B19	SOCS1	8651	MET
2	B20	DDAH2	23564	MET
2	B21	DNCL1	8655	MET
2	B22	DDAH1	23576	MET
2	B23			
2	B24			
2	C01			
2	C02			
4	G14	FBP1	2203	PHO
2	C04	QDPR	5860	MET
2	C05	PFKL	5211	MET
2	C06	RAF1	5894	MET
2	C07	PFKM	5213	MET
2	C08	RBBP4	5928	MET
2	C09	PFKP	5214	MET
2	C10	RENBP	5973	MET
4	A06	G6PC2	57818	PHO
2	C12	RHEB	6009	MET
4	N19	INPP5D	3635	PHO
2	C14	RORC	6097	MET
2	C15	PGD	5226	MET
2	C16	RPE	6120	MET
2	C17	PGK1	5230	MET
2	C18	RPS6	6194	MET
2	C19	PGK2	5232	MET
2	C20	RPS6KB1	6198	MET
2	C21	PGM1	5236	MET
2	C22	RRM2	6241	MET
2	C23			
2	C24			
2	D01			
2	D02			
2	D03	BECN1	8678	MET
2	D04	CBLC	23624	MET
2	D05	DGAT1	8694	MET
2	D06	PISD	23761	MET
2	D07	GPAA1	8733	MET
2	D08	MTCH1	23787	MET
2	D09	FADD	8772	MET
2	D10	MTCH2	23788	MET
2	K09	PPP1R3C	5507	MET
2	D12	SHC2	25759	MET
2	D13	SUCLG2	8801	MET
2	D14	PGLS	25796	MET
2	D15	SUCLG1	8802	MET
2	D16	MTO1	25821	MET
2	D17	SUCLA2	8803	MET
2	D18	TXN2	25828	MET
2	D19	DPM1	8813	MET
2	D20	ARH	26119	MET
2	D21	DPM2	8818	MET
2	D22	PHGDH	26227	MET
2	D23			
2	D24			
2	E01			
2	E02			
2	E03	PGM3	5238	MET
2	E04	SAT	6303	MET
2	E05	SLC25A3	5250	MET
2	E06	SDHA	6389	MET
2	E07	PHKA1	5255	MET
2	E08	SDHB	6390	MET
2	E09	PHKA2	5256	MET
2	E10	SDHC	6391	MET
2	E11	PHKB	5257	MET
2	E12	SDHD	6392	MET
2	E13	PHKG1	5260	MET
2	E14	SHC1	6464	MET
2	E15	PHKG2	5261	MET
2	E16	SHMT2	6472	MET
2	E17	PIGA	5277	MET
2	E18	SLC2A1	6513	MET
2	E19	PIGC	5279	MET
2	E20	SLC2A2	6514	MET
2	E21	PIGF	5281	MET
2	E22	SLC2A3	6515	MET
2	E23			
2	E24			
2	F01			
2	F02			
2	F03	GMPS	8833	MET
2	F04	B3GAT3	26229	MET
2	F05	SOCS2	8835	MET
2	F06	AK5	26289	MET
2	F07	CFLAR	8837	MET
2	F08	GAPDS	26330	MET
2	F09	ALDH1A2	8854	MET
2	F10	ATP5S	27109	MET
2	F11	SGPL1	8879	MET
2	F12	CHIA	27159	MET
2	A06	PSPH	5723	MET
2	F14	ASAHL	27163	MET
2	F15	CDK5R2	8941	MET
2	F16	GLS2	27165	MET
2	F17	SLC25A14	9016	MET
2	F18	COQ2	27235	MET
2	F19	SOCS3	9021	MET
2	F20	ANGPTL3	27329	MET
2	F21	PIGQ	9091	MET
2	F22	MAT2B	27430	MET
2	F23			
2	F24			
2	G01			
2	G02			
2	G03	PIGH	5283	MET
2	G04	SLC2A5	6518	MET
2	G05	PIK3C2A	5286	MET
2	G06	SLC16A1	6566	MET
2	G07	PIK3C3	5289	MET
2	G08	SLC25A1	6576	MET
2	G09	PIK3CA	5290	MET
2	G10	SLC22A4	6583	MET
2	G11	PIK3CB	5291	MET
2	G12	SLC22A5	6584	MET
2	G13	PIK3CD	5293	MET
2	G14	SMS	6611	MET
2	G15	PIK3CG	5294	MET
2	G16	SOS1	6654	MET
2	G17	PIK3R1	5295	MET
2	G18	SOS2	6655	MET
2	G19	PIK3R2	5296	MET
2	G20	UAP1	6675	MET
2	G21	PITX2	5308	MET
2	G22	SRC	6714	MET
2	G23			
2	G24			
2	H01			
2	H02			
2	A10	PTPN1	5770	MET
2	H04	ACAD9	28976	MET
2	H05	COX7A2L	9167	MET
2	H06	PYCR2	29920	MET
2	H07	TRIP10	9322	MET
2	H08	NME7	29922	MET
2	H09	COX5A	9377	MET
2	H10	SLC25A24	29957	MET
2	H11	EIF4E2	9470	MET
2	H12	SLC2A8	29988	MET
2	H13	SLC25A27	9481	MET
2	H14	SOCS7	30837	MET
2	H15	PIGL	9487	MET
2	H16	RRM2B	50484	MET
2	H17	PIGB	9488	MET
2	H18	AK3L1	50808	MET
2	H19	CREB5	9586	MET
2	H20	DERA	51071	MET
2	H21	GDA	9615	MET
2	H22	MMRP19	51074	MET
2	H23			
2	H24			
2	I01			
2	I02			
2	I03	PKLR	5313	MET
2	I04	SREBF1	6720	MET
2	I05	PKM2	5315	MET
2	I06	SRM	6723	MET
2	I07	PLAUR	5329	MET
2	I08	STK11	6794	MET
2	I09	PLD2	5338	MET
2	I10	SUOX	6821	MET
2	I11	PMAIP1	5366	MET
2	I12	SUV39H1	6839	MET
2	I13	PMM2	5373	MET
2	I14	SYT1	6857	MET
2	I15	PNLIP	5406	MET
2	I16	TALDO1	6888	MET
2	I17	PNLIPRP2	5408	MET
2	I18	TAZ	6901	MET
2	I19	PPAT	5471	MET
2	I20	TGM2	7052	MET
2	I21	PPID	5481	MET
2	I22	TKT	7086	MET
2	I23			
2	I24			
2	J01			
2	J02			
2	C11	PGAM1	5223	MET
2	J04	WBSCR14	51085	MET
2	J05	HDAC9	9734	MET
2	J06	HSD17B12	51144	MET
2	J07	GFPT2	9945	MET
2	J08	DSCR5	51227	MET
2	J09	AKT3	10000	MET
2	J10	PIPOX	51268	MET
2	J11	GNPDA1	10007	MET
2	J12	GMPR2	51292	MET
2	J13	GNE	10020	MET
2	J14	SLC25A37	51312	MET
2	J15	PIGK	10026	MET
2	J16	PRKAG2	51422	MET
2	J17	SLC25A13	10165	MET
2	J18	SNX9	51429	MET
2	J19	SLC25A15	10166	MET
2	J20	PIGT	51604	MET
2	J21	NME6	10201	MET
2	J22	UMP-CMPK	51727	MET
2	J23			
2	J24			
2	K01			
2	K02			
2	K03	PPOX	5498	MET
2	K04	CLDN5	7122	MET
4	C16	LCK	3932	PHO
2	K06	TNF	7124	MET
4	H17	MTMR2	8898	PHO
2	K08	TPI1	7167	MET
4	A19	PFKFB1	5207	PHO
2	K10	TSC1	7248	MET
4	A10	PFKFB4	5210	PHO
2	K12	TSC2	7249	MET
2	K13	PRKAA1	5562	MET
2	K14	TXNRD1	7296	MET
2	K15	PRKAA2	5563	MET
2	K16	TYMS	7298	MET
2	K17	PRKAB1	5564	MET
2	K18	UCP1	7350	MET
2	K19	PRKAB2	5565	MET
2	K20	UCP2	7351	MET
2	K21	PRKACA	5566	MET
2	K22	UCP3	7352	MET
2	K23			
2	K24			
2	L01			
2	L02			
2	L03	FLOT1	10211	MET
2	L04	ATP8A2	51761	MET
2	L05	PEMT	10400	MET
4	B14	PTPRF	5792	PHO
2	L07	ACAA2	10449	MET
2	L08	COQ3	51805	MET
2	L09	ATP5H	10476	MET
2	L10	SHC3	53358	MET
2	L11	SLC25A17	10478	MET
2	L12	PRKAG3	53632	MET
2	L13	SLC9A6	10479	MET
2	L14	NANS	54187	MET
2	L15	CAP2	10486	MET
2	L16	DPM3	54344	MET
2	L17	CAP1	10487	MET
2	L18	UGT2B28	54490	MET
2	L19	CREB3	10488	MET
2	L20	PRMT7	54496	MET
2	L21	SORBS1	10580	MET
2	L22	SMOX	54498	MET
2	L23			
2	L24			
2	M01			
2	M02			
2	M03	PRKACB	5567	MET
2	M04	SLC35A2	7355	MET
2	M05	PRKACG	5568	MET
2	M06	UGDH	7358	MET
2	M07	PRKAG1	5571	MET
2	M08	UGP2	7360	MET
2	M09	PRKAR1A	5573	MET
2	M10	UGT2B4	7363	MET
2	M11	PRKAR1B	5575	MET
2	M12	UGT2B7	7364	MET
2	M13	PRKAR2A	5576	MET
2	M14	UGT2B10	7365	MET
