Wells: 384		
Plates: 7		
Plate	Well	Content
*	*	sample
6	E02	sicon1
6	E23	sicon1
6	E24	sicon1
6	F01	sicon1
6	F02	sicon1
6	F23	sicon1
6	F24	sicon1
6	G01	sicon1
6	G02	sicon1
6	G23	sicon1
6	G24	sicon1
6	H01	sicon1
6	H02	sicon1
6	H23	sicon1
6	H24	sicon1
7	E01	sicon1
7	E02	sicon1
7	E23	sicon1
7	E24	sicon1
7	F01	sicon1
7	F02	sicon1
7	F23	sicon1
7	F24	sicon1
7	G01	sicon1
7	G02	sicon1
7	G23	sicon1
7	G24	sicon1
7	H01	sicon1
7	H02	sicon1
7	H23	sicon1
7	H24	sicon1
1	I01	sicon2
1	I02	sicon2
1	I23	sicon2
1	I24	sicon2
1	J01	sicon2
1	J02	sicon2
1	J23	sicon2
1	J24	sicon2
1	K01	sicon2
1	K02	sicon2
1	K23	sicon2
1	K24	sicon2
1	L01	sicon2
1	L02	sicon2
1	L23	sicon2
1	L24	sicon2
2	I01	sicon2
2	I02	sicon2
2	I23	sicon2
2	I24	sicon2
2	J01	sicon2
2	J02	sicon2
2	J23	sicon2
2	J24	sicon2
2	K01	sicon2
2	K02	sicon2
2	K23	sicon2
2	K24	sicon2
2	L01	sicon2
2	L02	sicon2
2	L23	sicon2
2	L24	sicon2
3	I02	sicon2
3	I23	sicon2
3	I24	sicon2
3	K02	sicon2
3	K23	sicon2
3	K24	sicon2
