Plate	Well	Condition_ID	GeneID
8	B01	40998933	siCON1
8	B02	40998934	TGFBR3
8	B03	40998935	UMP-CMPK
8	B04	40998936	CHKA
8	B05	40998937	WNK4
8	B06	40998938	RPS6KA1
8	B07	40998939	IHPK3
8	B08	40998940	BMX
8	B09	40998941	CLK4
8	B10	40998942	PAK2
8	B11	40998943	LOC390226
8	B12	40998944	PLK1
8	C01	40998945	siCON2
8	C02	40998946	CSNK1A1
8	C03	40998947	NME2
8	C04	40998948	MAK
8	C05	40998949	PIK3CD
8	C06	40998950	MAP3K6
8	C07	40998951	BRDT
8	C08	40998952	EIF2AK4
8	C09	40998953	NME6
8	C10	40998954	DYRK1A
8	C11	40998955	CAMK4
8	C12	40998956	MOCK
8	D01	40998957	allSTAR
8	D02	40998958	JIK
8	D03	40998959	PKLR
8	D04	40998960	PAK7
8	D05	40998961	VRK1
8	D06	40998962	EPHA6
8	D07	40998963	GUCY2C
8	D08	40998964	PNCK
8	D09	40998965	VRK3
8	D10	40998966	PDGFRA
8	D11	40998967	DDR1
8	D12	40998968	siCON1
8	E01	40998969	PLK1
8	E02	40998970	PTK9L
8	E03	40998971	PIK3C2A
8	E04	40998972	STK32A
8	E05	40998973	GTF2H1
8	E06	40998974	TOPK
8	E07	40998975	ZAK
8	E08	40998976	PDK4
8	E09	40998977	CHUK
8	E10	40998978	TPK1
8	E11	40998979	C14ORF20
8	E12	40998980	siCON2
8	F01	40998981	MOCK
8	F02	40998982	PIM3
8	F03	40998983	LMTK3
8	F04	40998984	CHEK2
8	F05	40998985	JAK1
8	F06	40998986	EIF2AK3
8	F07	40998987	PIK3C3
8	F08	40998988	ROCK2
8	F09	40998989	PIK3C2B
8	F10	40998990	SGK
8	F11	40998991	CLK3
8	F12	40998992	allSTAR
8	G01	40998993	siCON1
8	G02	40998994	PXK
8	G03	40998995	HUNK
8	G04	40998996	MAP4K1
8	G05	40998997	PCTK2
8	G06	40998998	INSR
8	G07	40998999	HIPK4
8	G08	40999000	SIK2
8	G09	40999001	MET
8	G10	40999002	FYN
8	G11	40999003	DKFZP434C131
8	G12	40999004	PLK1
8	H01	40999005	siCON2
8	H02	40999006	SAST
8	H03	40999007	NEK2
8	H04	40999008	MAPKAPK5
8	H05	40999009	NRK
8	H06	40999010	PFKFB2
8	H07	40999011	MARK4
8	H08	40999012	EPHB1
8	H09	40999013	MAGI-3
8	H10	40999014	SSTK
8	H11	40999015	IKBKG
8	H12	40999016	MOCK
9	A01	40999017	MOCK
9	A02	40999018	N4BP2
9	A03	40999019	NEK1
9	A04	40999020	XYLB
9	A05	40999021	RP6-213H19.1
9	A06	40999022	SMG1
9	A07	40999023	IHPK2
9	A08	40999024	ILK
9	A09	40999025	PSKH2
9	A10	40999026	NRBP
9	A11	40999027	ULK1
9	A12	40999028	allSTAR
9	B01	40999029	siCON1
9	B02	40999030	PRKCA
9	B03	40999031	CDKL2
9	B04	40999032	FES
9	B05	40999033	PRKAB1
9	B06	40999034	HAK
9	B07	40999035	CDK2
9	B08	40999036	MAP2K2
9	B09	40999037	MAPK10
9	B10	40999038	CALM2
9	B11	40999039	KHK
9	B12	40999040	PLK1
9	C01	40999041	siCON2
9	C02	40999042	GUK1
9	C03	40999043	CKM
9	C04	40999044	MAP4K3
9	C05	40999045	PRKDC
9	C06	40999046	PRPF4B
9	C07	40999047	RIOK3
